Date,Close,,,,,,,,,,,,,,,,,,,,,,,
3/03/2015,32.34,,,,,,,,,,,,,,,,,,,,,,,
4/03/2015,32.14,,,,,,,,,,,,,,,,,,,,,,,
5/03/2015,31.6,,,,,,,,,,,,,,,,,,,,,,,
6/03/2015,31.65,,,,,,,,,,,,,,,,,,,,,,,
9/03/2015,31.79,,,,,,,,,,,,,,,,,,,,,,,
10/03/2015,31.13,,,,,,,,,,,,,,,,,,,,,,,
11/03/2015,30.56,,,,,,,,,,,,,,,,,,,,,,,
12/03/2015,31.11,,,,,,,,,,,,,,,,,,,,,,,
13/03/2015,30.9,,,,,,,,,,,,,,,,,,,,,,,
16/03/2015,31.24,,,,,,,,,,,,,,,,,,,,,,,
17/03/2015,31.76,,,,,,,,,,,,,,,,,,,,,,,
18/03/2015,32.12,,,,,,,,,,,,,,,,,,,,,,,
19/03/2015,31.87,,,,,,,,,,,,,,,,,,,,,,,
20/03/2015,31.48,,,,,,,,,,,,,,,,,,,,,,,
23/03/2015,31.8,,,,,,,,,,,,,,,,,,,,,,,
24/03/2015,31.67,,,,,,,,,,,,,,,,,,,,,,,
25/03/2015,30.85,,,,,,,,,,,,,,,,,,,,,,,
26/03/2015,31.06,,,,,,,,,,,,,,,,,,,,,,,
27/03/2015,30.81,,,,,,,,,,,,,,,,,,,,,,,
30/03/2015,31.59,,,,,,,,,,,,,,,,,,,,,,,
31/03/2015,31.11,,,,,,,,,,,,,,,,,,,,,,,
1/04/2015,31.06,,,,,,,,,,,,,,,,,,,,,,,
2/04/2015,31.33,,,,,,,,,,,,,,,,,,,,,,,
6/04/2015,31.84,,,,,,,,,,,,,,,,,,,,,,,
7/04/2015,31.5,,,,,,,,,,,,,,,,,,,,,,,
8/04/2015,31.4,,,,,,,,,,,,,,,,,,,,,,,
9/04/2015,31.64,,,,,,,,,,,,,,,,,,,,,,,
10/04/2015,31.78,,,,,,,,,,,,,,,,,,,,,,,
13/04/2015,31.71,,,,,,,,,,,,,,,,,,,,,,,
14/04/2015,31.58,,,,,,,,,,,,,,,,,,,,,,,
15/04/2015,31.7,,,,,,,,,,,,,,,,,,,,,,,
16/04/2015,31.54,,,,,,,,,,,,,,,,,,,,,,,
17/04/2015,31.19,,,,,,,,,,,,,,,,,,,,,,,
20/04/2015,31.9,,,,,,,,,,,,,,,,,,,,,,,
21/04/2015,31.73,,,,,,,,,,,,,,,,,,,,,,,
22/04/2015,32.16,,,,,,,,,,,,,,,,,,,,,,,
23/04/2015,32.42,,,,,,,,,,,,,,,,,,,,,,,
24/04/2015,32.57,,,,,,,,,,,,,,,,,,,,,,,
